920;485
921;440
920;454
908;394
920;426
920;407
919;362
821;358
918;335
918;317
917;246
920;493
920;498
920;500
920;503
920;509
920;517
920;525
920;537
920;447
907;445
773;307
860;370
847;371
834;370
816;363
871;366
841;341
855;341
828;342
819;346
807;372
869;557
816;354
769;365
791;363
853;427
904;483
907;498
887;488
877;495
895;499
885;501
860;516
909;439
907;426
797;333
879;392
876;435
875;427
814;426
908;409
829;322
810;325
785;284
890;333
868;344
850;503
785;490
886;443
898;447
865;504
871;503
802;316
876;441
855;324
852;312
838;253
794;298
847;281
789;326
782;317
905;492
891;495
881;498
890;445
868;504
874;506
872;502
894;438
888;500
897;499
908;500
903;537
904;524
905;516
906;508
907;503
886;503
884;505
881;509
878;513
865;478
770;424
920;449
880;503
877;504
903;453
881;450
901;450
865;400
844;410
873;434
805;265
815;286
824;310
871;524
885;316
880;279
874;247
823;368
793;382
878;363
805;348
888;383
885;430
780;391
803;392
820;397
846;395
864;388
878;382
906;366
784;420
793;346
913;446
880;406
766;364
888;375
872;434
812;356
884;421
775;456
878;357
896;413
813;525
814;539
771;422
798;505
775;339
866;571
915;449
868;416
781;366
834;362
846;363
870;509
788;447
891;590
849;571
832;558
918;280
920;593
857;362
868;360
875;359
784;343
866;348
854;344
842;343
830;346
823;349
768;332
826;360
920;463
876;469
886;441
902;465
919;347
829;543
846;557
890;581
799;518
874;353
897;387
920;583
868;582
777;452
896;503
894;506
892;512
890;520
885;531
877;502
873;501
869;499
855;490
806;455
897;373
889;350
880;352
880;500
804;487
901;350
877;544
920;391
907;380
920;377
888;409
921;569
921;552
898;551
846;520
862;446
860;534
833;443
851;460
823;466
893;567
880;417
834;529
851;544
835;503
791;470
819;503
784;480
841;479
889;396
889;436
880;440
895;427
878;342
856;336
836;334
821;335
810;339
803;360
768;393
814;378
828;382
846;382
862;378
875;374
884;369
768;394
881;443
897;400
899;437
907;444
899;439
885;447
909;445
910;448
883;359
891;362
896;364
819;352
812;349
932;394
1017;358
933;445
1061;309
978;370
991;371
1004;371
1021;363
966;366
996;340
981;341
1009;342
1018;346
1031;373
971;558
1022;354
1066;367
1045;364
986;428
936;483
933;498
952;488
962;494
945;499
953;501
978;516
932;440
934;426
1039;333
960;392
963;436
964;428
1024;427
933;409
1007;321
1027;325
1050;285
946;332
969;344
988;503
1049;492
953;443
942;447
972;504
966;503
1034;315
963;442
981;323
984;311
997;253
1042;299
989;281
1047;327
1054;318
935;492
948;495
958;498
950;445
969;504
964;506
965;502
946;438
951;500
942;499
931;500
938;537
937;524
936;516
934;508
933;503
953;503
955;505
958;509
961;513
974;478
1063;426
959;503
961;504
937;453
958;450
939;450
973;401
994;410
966;434
1030;266
1021;286
1012;310
968;524
951;315
956;279
961;247
1015;368
1044;383
959;363
1032;348
951;383
955;431
1056;393
1035;393
1018;398
993;395
974;389
960;382
933;366
1053;421
1043;347
927;446
959;406
1068;366
950;375
966;435
1025;356
956;421
1058;458
960;358
944;414
1024;526
1023;540
1064;424
1038;507
1060;340
974;572
926;449
970;417
1055;367
1004;362
992;363
968;509
1049;448
949;591
989;572
1005;559
980;362
970;360
963;359
1052;344
971;348
983;344
995;343
1007;346
1014;349
1066;334
1012;360
963;470
954;441
938;465
1008;544
992;558
950;582
1036;519
963;353
942;387
971;583
1058;453
944;503
946;506
949;512
951;520
955;531
961;502
965;501
969;499
983;490
1032;456
942;374
948;350
957;352
958;500
1033;488
936;350
963;544
933;380
951;409
943;551
993;521
977;446
979;535
1006;444
988;460
1016;466
948;568
959;417
1004;530
988;545
1002;504
1045;471
1018;504
1051;481
997;479
950;396
951;436
959;440
945;428
958;341
980;335
1000;334
1016;335
1027;340
1034;360
1067;395
1023;379
1010;383
992;382
975;379
963;374
954;369
1065;396
959;444
942;400
941;437
934;444
941;439
954;448
931;445
930;448
955;359
946;362
942;365
1018;352
1024;349
